0.31261	0.29853	0.28457	0.27061	0.25668	0.24277	0.22887	0.21501	0.20117	0.18738	0.17364	0.15995	0.14635	0.13285	0.11949	0.10633	0.093429	0.080935	0.069063	0.058194	0.048999
0.31222	0.29813	0.28415	0.27017	0.25621	0.24227	0.22835	0.21445	0.20058	0.18674	0.17295	0.15921	0.14553	0.13195	0.11849	0.1052	0.092143	0.079447	0.067313	0.056106	0.0465
0.31008	0.29589	0.28179	0.2677	0.2536	0.23951	0.22542	0.21132	0.19723	0.18314	0.16906	0.15497	0.14089	0.12681	0.11273	0.098667	0.084612	0.070574	0.056567	0.042622	0.028828
0.31057	0.29639	0.28232	0.26826	0.25419	0.24013	0.22608	0.21203	0.19799	0.18396	0.16994	0.15593	0.14194	0.12798	0.11405	0.10017	0.086361	0.072662	0.059152	0.045997	0.033618
0.31166	0.29754	0.28353	0.26952	0.25553	0.24155	0.22758	0.21363	0.1997	0.1858	0.17193	0.1581	0.14432	0.13062	0.117	0.10352	0.090218	0.077207	0.064653	0.052885	0.042559
0.31066	0.2965	0.28243	0.26837	0.25431	0.24026	0.22621	0.21217	0.19814	0.18412	0.17012	0.15613	0.14216	0.12822	0.11432	0.10047	0.086709	0.073076	0.059659	0.046648	0.034503
0.31123	0.29709	0.28305	0.26902	0.255	0.24099	0.22699	0.213	0.19902	0.18507	0.17114	0.15724	0.14338	0.12958	0.11584	0.1022	0.088707	0.075435	0.062527	0.050263	0.039253
0.31157	0.29745	0.28343	0.26942	0.25542	0.24143	0.22746	0.2135	0.19956	0.18565	0.17177	0.15792	0.14413	0.1304	0.11676	0.10324	0.089903	0.076838	0.064213	0.052346	0.041887
0.3101	0.29591	0.28182	0.26772	0.25363	0.23954	0.22544	0.21135	0.19726	0.18318	0.16909	0.15501	0.14093	0.12686	0.11279	0.09873	0.084685	0.070662	0.056676	0.042767	0.029042
0.31108	0.29693	0.28289	0.26885	0.25482	0.2408	0.22678	0.21278	0.19879	0.18482	0.17087	0.15695	0.14306	0.12922	0.11544	0.10175	0.088186	0.074822	0.061786	0.049338	0.038061
0.31202	0.29792	0.28392	0.26994	0.25597	0.24201	0.22807	0.21415	0.20026	0.1864	0.17258	0.15881	0.1451	0.13147	0.11795	0.10459	0.091452	0.078644	0.066363	0.054963	0.045114
0.31016	0.29596	0.28187	0.26778	0.25369	0.2396	0.22551	0.21143	0.19734	0.18326	0.16919	0.15511	0.14104	0.12698	0.11293	0.098889	0.08487	0.070883	0.056953	0.043132	0.029577
0.31058	0.29641	0.28234	0.26828	0.25421	0.24016	0.2261	0.21206	0.19802	0.18399	0.16997	0.15597	0.14198	0.12802	0.1141	0.10022	0.086421	0.072733	0.059239	0.04611	0.033771
0.31022	0.29604	0.28195	0.26786	0.25377	0.23969	0.22561	0.21153	0.19745	0.18338	0.16931	0.15525	0.14119	0.12715	0.11312	0.099106	0.085123	0.071186	0.057329	0.043628	0.030295
0.31057	0.2964	0.28233	0.26826	0.2542	0.24014	0.22608	0.21203	0.19799	0.18396	0.16994	0.15594	0.14195	0.12799	0.11406	0.10018	0.086369	0.072672	0.059163	0.046012	0.033638
0.31113	0.29698	0.28294	0.2689	0.25487	0.24086	0.22685	0.21285	0.19886	0.1849	0.17096	0.15704	0.14316	0.12933	0.11556	0.10189	0.088348	0.075012	0.062016	0.049627	0.038434
